country,country_code,year,population,GDP,GDP_per_capita
Afghanistan,AFG,2010,28189672,15856668555.8336,562.4992215529716
Albania,ALB,2010,2913399,12086545641.299,4148.606367098705
Algeria,DZA,2010,35856344,177785053939.531,4958.259379136116
American Samoa,ASM,2010,54849,573000000.0,10446.86320625718
Andorra,AND,2010,71519,3449925738.86069,48237.8911738236
Angola,AGO,2010,23364185,83799474069.7315,3586.6636935862093
Antigua and Barbuda,ATG,2010,85695,1298348148.14815,15150.803992626757
Argentina,ARG,2010,41100123,423627422092.49,10307.205700880506
Armenia,ARM,2010,2946293,9260285755.62424,3143.0294799682993
Aruba,ABW,2010,100341,2453597206.70391,24452.588739437615
Australia,AUS,2010,22019168,1148838233480.72,52174.461518288066
Austria,AUT,2010,8362829,389827789217.634,46614.34416722308
Azerbaijan,AZE,2010,9237202,52909294791.9262,5727.848626881409
Bahrain,BHR,2010,1213645,26805984042.5532,22087.170500890457
Bangladesh,BGD,2010,148391139,115275540051.262,776.835738495558
Barbados,BRB,2010,274711,5191188500.0,18896.908023340893
Belarus,BLR,2010,9731427,57231904542.8755,5881.142050685424
Belgium,BEL,2010,10877947,481556503720.001,44269.06140653204
Belize,BLZ,2010,322106,1745700000.0,5419.644464865603
Benin,BEN,2010,9445710,9535345015.78355,1009.4894947847806
Bermuda,BMU,2010,63447,6634526000.0,104568.0016391634
Bhutan,BTN,2010,705516,1708880730.20989,2422.1714747927613
Bolivia,BOL,2010,10223270,19649723722.1034,1922.0585705066385
Bosnia and Herzegovina,BIH,2010,3811088,17176315803.7298,4506.932352055318
Botswana,BWA,2010,2091664,12637273429.1339,6041.732051196512
Brazil,BRA,2010,196353492,2208837745100.55,11249.291889856227
British Virgin Islands,VGB,2010,27556,,
Bulgaria,BGR,2010,7592273,50689051382.4361,6676.399990152632
Burkina Faso,BFA,2010,16116845,10109619740.6994,627.270395707063
Burundi,BDI,2010,9126605,2032135192.01248,222.66058320837595
Cambodia,KHM,2010,14363532,13808673288.0696,961.3703153284024
Cameroon,CMR,2010,19878036,27507501821.0296,1383.813864761569
Canada,CAN,2010,33963412,1617343367486.26,47620.1674757018
Cayman Islands,CYM,2010,54074,4156841107.36443,76873.19427755354
Central African Republic,CAF,2010,4660067,2142591540.40068,459.77698183323974
Chad,TCD,2010,11894727,14058506663.7252,1181.9108302128498
Chile,CHL,2010,17004162,217051209238.534,12764.593117763405
China,CHN,2010,1348191368,6192564874453.29,4593.238780070049
Colombia,COL,2010,44816108,286498534094.963,6392.758025640313
Comoros,COM,2010,656024,907979446.419588,1384.0643732844956
Costa Rica,CRI,2010,4622252,37658616951.8182,8147.2444496358485
Croatia,HRV,2010,4368682,58981738868.753,13501.037353772374
Cuba,CUB,2010,11290417,59562962962.963,5275.532601051227
Curacao,,2010,159380,2951342793.29609,18517.64834543914
Cyprus,CYP,2010,1129686,25799940077.6075,22838.151555040513
Denmark,DNK,2010,5550849,322345594075.47,58071.403865511376
Djibouti,DJI,2010,919199,1128611700.3618,1227.8208531142875
Dominica,DMA,2010,68755,519859259.259259,7561.039331819635
Dominican Republic,DOM,2010,9775755,53801053352.5005,5503.5189969982375
Ecuador,ECU,2010,14989585,68151329000.0,4546.5787745291145
El Salvador,SLV,2010,6114034,18447920000.0,3017.3073947577
Equatorial Guinea,GNQ,2010,1094524,16314443436.2903,14905.514576464564
Eritrea,ERI,2010,3147727,1589515447.15447,504.9724601766513
Estonia,EST,2010,1331535,19524355419.038,14663.043343988704
Eswatini,SWZ,2010,1099920,4438765085.93784,4035.5344806329917
Ethiopia,ETH,2010,89237791,29933790334.3418,335.4384952709307
Faroe Islands,FRO,2010,48410,2331796784.36009,48167.66751415182
Fiji,FJI,2010,905169,3140166712.79624,3469.1496425487835
Finland,FIN,2010,5363271,249429613683.334,46506.9942733332
France,FRA,2010,62444567,2646230027988.34,42377.26603162033
French Polynesia,PYF,2010,283788,6086644798.55982,21447.858255316714
Gabon,GAB,2010,1711105,14372593020.2885,8399.59734808121
Georgia,GEO,2010,3836831,12426907967.1578,3238.8468418749226
Germany,DEU,2010,81325090,3468154343000.01,42645.56415492451
Ghana,GHA,2010,25574719,32197655566.5347,1258.96419689048
Gibraltar,GIB,2010,31262,,
Greece,GRC,2010,11033783,296417644404.034,26864.55265651264
Greenland,GRL,2010,56351,2503167187.49305,44420.98964513584
Grenada,GRD,2010,114039,771014814.814815,6760.974884160813
Guam,GUM,2010,164905,4949000000.0,30011.218580394772
Guatemala,GTM,2010,14543121,40676578423.4871,2796.963486963156
Guinea,GIN,2010,10270728,6853467145.53089,667.2815350120158
Guinea-Bissau,GNB,2010,1567220,940112538.936436,599.8599679282015
Guyana,GUY,2010,747932,3432912516.92427,4589.872497665924
Haiti,HTI,2010,9842880,11859312725.1448,1204.8620652842258
Honduras,HND,2010,8450933,15839344591.9842,1874.2717037259908
Hungary,HUN,2010,9986825,131898737241.166,13207.274308017413
Iceland,ISL,2010,318333,13751161917.7398,43197.41251375069
India,IND,2010,1240613620,1675615519484.96,1350.6344702913707
Indonesia,IDN,2010,244016173,755094157621.936,3094.443078664036
Iraq,IRQ,2010,31264875,138516722649.573,4430.426241895194
Ireland,IRL,2010,4524585,221985621537.5,49062.09553749128
Isle of Man,IMN,2010,83828,5920369789.50182,70625.20624972347
Israel,ISR,2010,7328445,239679036634.372,32705.306055291676
Italy,ITA,2010,59822450,2144936254535.0,35855.03861067208
Jamaica,JAM,2010,2733896,13220549908.2494,4835.791086511484
Japan,JPN,2010,128105431,5759071769013.11,44955.719082769494
Jordan,JOR,2010,6931258,27133804225.3521,3914.7012310538867
Kazakhstan,KAZ,2010,16627837,148047348240.643,8903.584287038837
Kenya,KEN,2010,41517895,45405615063.7551,1093.6396236792616
Kiribati,KIR,2010,107995,165458433.127645,1532.0934592124172
Kuwait,KWT,2010,2943356,115416245238.478,39212.46537574048
Latvia,LVA,2010,2101530,23468324572.3343,11167.2565094642
Lebanon,LBN,2010,4995800,38443907042.1227,7695.245414572782
Lesotho,LSO,2010,2022747,2234754241.91918,1104.8115468316996
Liberia,LBR,2010,4019956,1998000000.0,497.0203653970342
Libya,LBY,2010,6491988,75380825062.4216,11611.362353476563
Liechtenstein,LIE,2010,35926,5082337238.44718,141466.82732414352
Lithuania,LTU,2010,3139019,36638128534.0643,11671.84032147123
Luxembourg,LUX,2010,507070,56213985987.4168,110860.4058363082
Madagascar,MDG,2010,21731053,9982711338.07029,459.3754079965793
Malawi,MWI,2010,14718422,10128323010.6049,688.1391911853663
Malaysia,MYS,2010,28717731,255017638455.59,8880.145804541104
Maldives,MDV,2010,361575,2588176054.6875,7158.061411014312
Mali,MLI,2010,15529181,13196527458.3156,849.78901709727
Malta,MLT,2010,418755,9097044182.15877,21724.02522276455
Marshall Islands,MHL,2010,53416,161100000.0,3015.950277070541
Mauritania,MRT,2010,3419461,5628878797.98257,1646.130427568137
Mauritius,MUS,2010,1283330,10003670690.3497,7795.088317385007
Mexico,MEX,2010,112532401,1105424238572.81,9823.16407318822
Moldova,MDA,2010,3678186,6974982369.60155,1896.3104012688727
Monaco,MCO,2010,33178,5367561569.59548,161780.74536124783
Mongolia,MNG,2010,2702520,7189481998.90094,2660.288175073983
Montenegro,MNE,2010,631044,4142983843.4912,6565.285215438543
