country,year,population,GDP
Afghanistan,2010,28189672,15856668555.8336
Albania,2010,2913399,12086545641.299
Algeria,2010,35856344,177785053939.531
American Samoa,2010,54849,573000000.0
Andorra,2010,71519,3449925738.86069
Angola,2010,23364185,83799474069.7315
Antigua and Barbuda,2010,85695,1298348148.14815
Argentina,2010,41100123,423627422092.49
Armenia,2010,2946293,9260285755.62424
Aruba,2010,100341,2453597206.70391
Australia,2010,22019168,1148838233480.72
Austria,2010,8362829,389827789217.634
Azerbaijan,2010,9237202,52909294791.9262
Bahrain,2010,1213645,26805984042.5532
Bangladesh,2010,148391139,115275540051.262
Barbados,2010,274711,5191188500.0
Belarus,2010,9731427,57231904542.8755
Belgium,2010,10877947,481556503720.001
Belize,2010,322106,1745700000.0
Benin,2010,9445710,9535345015.78355
Bermuda,2010,63447,6634526000.0
Bhutan,2010,705516,1708880730.20989
Bolivia,2010,10223270,19649723722.1034
Bosnia and Herzegovina,2010,3811088,17176315803.7298
Botswana,2010,2091664,12637273429.1339
Brazil,2010,196353492,2208837745100.55
British Virgin Islands,2010,27556,
Bulgaria,2010,7592273,50689051382.4361
Burkina Faso,2010,16116845,10109619740.6994
Burundi,2010,9126605,2032135192.01248
Cambodia,2010,14363532,13808673288.0696
Cameroon,2010,19878036,27507501821.0296
Canada,2010,33963412,1617343367486.26
Cayman Islands,2010,54074,4156841107.36443
Central African Republic,2010,4660067,2142591540.40068
Chad,2010,11894727,14058506663.7252
Chile,2010,17004162,217051209238.534
China,2010,1348191368,6192564874453.29
Colombia,2010,44816108,286498534094.963
Comoros,2010,656024,907979446.419588
Costa Rica,2010,4622252,37658616951.8182
Croatia,2010,4368682,58981738868.753
Cuba,2010,11290417,59562962962.963
Curacao,2010,159380,2951342793.29609
Cyprus,2010,1129686,25799940077.6075
Denmark,2010,5550849,322345594075.47
Djibouti,2010,919199,1128611700.3618
Dominica,2010,68755,519859259.259259
Dominican Republic,2010,9775755,53801053352.5005
Ecuador,2010,14989585,68151329000.0
El Salvador,2010,6114034,18447920000.0
Equatorial Guinea,2010,1094524,16314443436.2903
